fsa,LDU,latitude,longitude,distance_min
N8Y,1Z4,42.31712,-82.979828,0.9947333160283965
N9E,1E8,42.265572,-83.031204,0.20998231995174207
N9E,4B5,42.261059,-83.015709,0.7888922903037331
N9V,4C1,42.144737,-83.104897,4.676459785108025
P3E,3S3,46.483101,-80.997322,0.6690173326298791
P7E,2Y7,48.368332,-89.293694,0.9365298411942383
L4C,7R4,43.866463,-79.457664,1.8409628497041104
L5R,1Z9,43.592674,-79.663986,0.21999701250855333
M5X,1J9,43.648361,-79.381958,0.03506896066567773
N1H,6J6,43.545364,-80.246918,0.1561542050207426
N5Z,3Y7,42.960419,-81.204376,0.40945534144483997
K1J,6W7,45.437695,-75.608772,0.42021231514630597
K1L,6M9,45.431847,-75.666862,0.5062543170846067
K1N,6K2,45.426186,-75.684891,0.25234636948166567
K1N,7S5,45.425289,-75.680344,0.544516417390821
K1S,1B5,45.405495,-75.67543,0.8600344432235637
K1Y,3M4,45.392937,-75.735367,0.6850118011163986
K1Z,5P8,45.390167,-75.746956,0.45150098506676234
K2B,5A7,45.375927,-75.775307,0.6019910094504731
K2C,2N7,45.359924,-75.759277,1.0304984679732987
K2G,4Z5,45.34388,-75.777313,0.6829751021827349
K2H,5W5,45.328384,-75.78994,0.8574790559217138
K2L,3V5,45.301258,-75.884773,0.22568573286073404
K2L,3X4,45.302288,-75.881981,0.14732980362641693
K7K,4Y9,44.261887,-76.482048,1.233115728073788
K8V,6T9,44.11441,-77.572441,1.3904232792925355
L1B,1B9,43.898781,-78.619339,3.125919663285037
L1E,0B8,43.890602,-78.795128,2.0973490847874827
L1E,2T1,43.880428,-78.794365,3.142571339230558
L1N,2K9,43.887779,-78.906693,0.48536953488657875
L1W,3N7,43.822598,-79.068886,1.3062977817806392
L2A,5H9,42.894947,-78.926453,1.287761729145021
L2G,1H1,43.093861,-79.100967,0.4670087809404708
L2J,0B3,43.137409,-79.105591,1.7056388210771267
L2J,1N2,43.122463,-79.110474,0.7655982085164135
L2T,3A3,43.135826,-79.227493,0.2767809619529712
L2V,4T4,43.111233,-79.230057,1.2203945044873628
L3B,1W7,42.970543,-79.235008,0.7604834273539062
L3C,3Z6,43.002323,-79.247673,0.40223754229847924
L3C,7K7,43.02227,-79.242401,0.7275134784769242
L3K,1R4,42.900726,-79.242874,1.0797015981776141
L3P,6A8,43.869812,-79.242188,1.111573915074424
L3R,9J2,43.866367,-79.352638,0.7815275772739096
L3S,0B6,43.849583,-79.252907,0.4048473077133619
L3Y,5P4,44.055878,-79.438087,1.1920935022090269
L4C,0P1,43.874199,-79.439041,0.12326778665591381
L4C,4T7,43.883114,-79.448967,0.6379362139186026
L4G,0K8,43.997608,-79.44194,0.8660160741567663
L4G,2Y6,44.004551,-79.477066,0.6081960881505429
L4H,3N6,43.792706,-79.660316,0.6804080363907961
L4L,4K9,43.780056,-79.616081,0.5707498743488759
L4N,2R9,44.371498,-79.681679,0.7831336822927426
L4P,1J7,44.243275,-79.474136,0.2931089831995343
L4S,1R1,43.898296,-79.467598,1.818808677456841
L4T,4A5,43.731163,-79.628754,1.5249739130187827
L4W,1M6,43.627495,-79.60955,0.507551964974902
L4W,4E1,43.660568,-79.641884,0.6902064355500521
L5G,1W6,43.569565,-79.57505,0.46994092931416476
L5J,1H1,43.518127,-79.618607,0.3316938852289402
L5M,1X1,43.580521,-79.713638,0.15281480179088916
L5M,1Y8,43.575859,-79.71698,0.7231210722044048
L5M,4P7,43.54845,-79.715935,0.24664365035996502
L5M,7L8,43.538586,-79.723656,1.445939636320831
L5N,6T7,43.576256,-79.780777,0.6712662029600652
L5R,2C2,43.590565,-79.661606,0.43827442465257854
L5R,3K5,43.609146,-79.679611,0.647399550997725
L5R,3R5,43.602661,-79.659241,0.6123076990090649
L5V,2X2,43.597626,-79.703957,0.5855619185332158
L6B,0J7,43.895901,-79.218582,1.2973032931785529
L6K,2C2,43.43618,-79.69648,0.4334944501978714
L6K,3E6,43.445847,-79.68325,0.2725034771842662
L6L,1A1,43.403664,-79.693344,1.1532221290469788
L6V,4M3,43.704109,-79.781548,0.24994734490343037
L6Y,1S3,43.682793,-79.762482,0.37681640770984937
L6Z,1E6,43.726845,-79.793808,0.21860711946575007
L7G,4P9,43.644127,-79.876816,1.3701558237935567
L7L,3E1,43.375908,-79.73085,0.8703580844634121
L7L,3L5,43.373581,-79.745895,0.7800036570246005
L7L,3S8,43.379379,-79.737411,1.3769779044668253
L7L,4T5,43.376335,-79.737633,1.087442852069575
L8B,0Z5,43.406048,-80.047386,5.5026418542289806
L8H,2V6,43.250656,-79.812988,0.07536857922694726
L9A,4L8,43.242664,-79.857315,0.47702892991648216
L9C,5A2,43.237637,-79.907166,0.46087389081755037
L9C,6P8,43.241661,-79.927101,1.0111959470771799
L9W,5L1,43.895191,-80.117035,0.7161670993083826
M1B,6G7,43.8083,-79.182327,1.5986938719448545
M1E,3E9,43.771809,-79.187508,0.15093797703443626
M1J,0B1,43.741959,-79.242882,0.7632997818096372
M1K,2R9,43.735794,-79.252647,0.26239178981062206
M1P,1R4,43.757538,-79.286583,0.9965957336462002
M1S,2S8,43.78545,-79.261864,0.5452700422768405
M1W,3J4,43.798519,-79.304451,0.8832062245270326
M2H,2E4,43.803928,-79.356369,0.43444186636629334
M2J,2H2,43.781712,-79.35688,0.623931055489117
M2J,3Z3,43.777393,-79.330566,0.2304973577433827
M2J,4J7,43.787075,-79.367958,0.42658904339763093
M2N,1G9,43.755241,-79.426247,0.9586621153673399
M3H,3S4,43.75745,-79.435921,0.25445822185858874
M3J,1Y6,43.754829,-79.482224,0.744038847384016
M4E,2L7,43.68264,-79.307846,0.33475518631195633
M4J,4B9,43.684341,-79.333458,0.6559783922885563
M4S,1S8,43.706661,-79.377365,0.14173465405742972
M4S,2L1,43.706989,-79.39093,0.11340553575370732
M4W,3V1,43.670177,-79.388565,0.030324109826576896
M5A,0K8,43.655594,-79.358124,0.21201694465450407
M5A,0N6,43.654026,-79.363914,0.09636875852291686
M5W,5C3,43.646175,-79.373085,0.14442281813523625
M6C,2H8,43.700413,-79.438629,0.22784171399362108
M6J,2Y6,43.646393,-79.419052,0.2813293325896612
M6N,2Y6,43.671085,-79.458801,0.7050826721634871
M6S,1G2,43.645622,-79.482109,0.4767798233994692
M8Y,0A5,43.61758,-79.498131,0.28701433043370506
M8Z,2Y1,43.638561,-79.517738,0.5494989736567826
M9W,1L7,43.700577,-79.598343,1.5430237673556715
N1G,3M6,43.510056,-80.22583,0.5439309070394474
N1L,1B3,43.528751,-80.192032,1.8529818750914155
N1R,3R7,43.361485,-80.312798,0.2670678071779577
N1R,3X6,43.349991,-80.308929,1.0295256789204075
N1R,5L6,43.367062,-80.295639,0.7895225502837807
N2C,0A6,43.415741,-80.439651,0.9450260540032366
N2C,2H7,43.425262,-80.440308,0.14165637554507687
N2E,3K9,43.405342,-80.494545,0.3644892055401583
N2L,2H6,43.460526,-80.532295,0.4052324958229138
N2V,1C7,43.495083,-80.554077,0.2932256280471631
N3R,0C1,43.083847,-80.21595,5.6993822468860404
N3S,3R8,43.142918,-80.230927,1.275944817494433
N3S,7X4,43.133114,-80.231308,1.2511827411082388
N3T,5B6,43.146042,-80.288986,1.5683565306024434
N5P,3H9,42.78212,-81.180206,0.6472084596655556
N5Z,3S7,42.971249,-81.213341,0.9922877489890006
N6C,4H6,42.961624,-81.238403,0.5395283303987387
N6G,2T6,43.013428,-81.310684,1.0776850900400874
N6J,4K3,42.954674,-81.276787,1.264119675755171
N8N,2B7,42.329819,-82.886269,2.0046865650473897
N8T,3C7,42.30611,-82.94899,0.7301750210749416
N8W,5C6,42.278484,-82.988251,0.7168099355384664
N8Y,3P4,42.320198,-83.001617,0.8664758477623237
P3C,1W2,46.493176,-81.012581,0.7580395366308417
P3C,4R8,46.476025,-81.021194,0.14850772105104496
P3C,5P6,46.494907,-80.996346,0.25080233610048547
P3C,5R9,46.508606,-80.994728,1.14484555653846
P3E,5X6,46.438171,-80.99366,0.9940696977043826
P3E,6E5,46.441196,-80.986214,1.011055688231263
P7A,1E8,48.461765,-89.189133,0.776582835372607
P7A,5V6,48.439018,-89.234741,0.7763672972934421
P7B,1M8,48.432632,-89.224052,0.250641153629904
P7J,1H9,48.354343,-89.262245,1.740987144644169
N3C,1B5,43.437531,-80.31562,0.7863735086268739
K1B,5G3,45.422379,-75.609222,0.6994844351924588
K1J,7M7,45.441704,-75.612389,0.4956331589040201
K1L,8E2,45.435928,-75.666351,0.2420948402377769
K1N,9H4,45.422581,-75.686577,0.4899904503220372
K1V,2L8,45.33559,-75.671478,1.574974604470812
K1V,6P5,45.374371,-75.653267,0.48370650099989293
K1Z,5A5,45.375179,-75.747963,0.43565396118959515
K2B,7R8,45.357334,-75.790192,0.563574990988082
K2E,7S5,45.35688,-75.718529,1.190177276528972
K2H,9C1,45.32724,-75.826233,0.2592221456871196
K2J,0E7,45.253902,-75.728157,2.272513079531112
K2J,3W8,45.264671,-75.765053,0.5957801431545758
K2L,1T3,45.289494,-75.880257,1.0326355652711692
K2M,1B5,45.284565,-75.86351,0.3856438529037045
K2S,0R8,45.258446,-75.923042,1.071322370927937
K4A,2V8,45.476437,-75.493851,1.0532255569953468
K7M,7E9,44.243,-76.610077,1.6655385759203725
K7M,8R7,44.268597,-76.528648,2.5688110340059627
K8V,5C6,44.101368,-77.58316,0.4349816637370917
L1B,1M7,43.914127,-78.58136,0.7786084380560975
L1H,5W2,43.901325,-78.849678,0.49953555957702866
L1K,0H6,43.953526,-78.834358,1.6355063949400324
L1N,7K7,43.879402,-78.904083,0.8066933030934367
L1S,1W6,43.855278,-79.030388,0.6653584174994439
L1V,3T6,43.828793,-79.117783,0.39355593982464737
L1Y,1G3,43.977444,-79.091599,2.591723111154928
L2A,1B2,42.901711,-78.918152,1.132769772611357
L2V,1T7,43.12706,-79.195015,0.5127941380063488
L3C,4L6,42.997875,-79.25695,0.6558854840077144
L3C,5E8,42.971447,-79.27652,2.555132636392323
L3R,3K4,43.832485,-79.309288,0.17421902570025788
L3R,3K6,43.82436,-79.331146,0.34734801213401956
L3R,9A6,43.860111,-79.354843,1.006091343390137
L3S,4H5,43.851902,-79.239922,1.1771905561373273
L3T,1G7,43.808624,-79.384033,0.397443848620408
L3X,0C5,44.036469,-79.416443,2.6440561839133876
L3Y,3R1,44.053379,-79.450516,0.554355495452547
L3Y,7E8,44.076313,-79.43821,1.1450590267450576
L3Z,1H7,44.112839,-79.570824,0.567470928782545
L4G,1S1,44.003788,-79.466316,0.2642763496657346
L4G,2G1,43.984364,-79.473175,0.6593127759163638
L4G,2N3,43.99641,-79.473763,0.5879862804556093
L4K,3E9,43.78574,-79.488304,0.6244297615856438
L4P,1P3,44.214771,-79.472069,2.0887857595496575
L4P,2V8,44.214741,-79.466415,1.6510473365296106
L4P,4G3,44.197849,-79.465218,2.697163386683509
L4T,1W8,43.71801,-79.643562,0.497743452188241
L4T,2Z1,43.725185,-79.635239,0.7133987232943523
L4Z,2M6,43.616489,-79.640579,0.5511038188023185
L4Z,3N3,43.605263,-79.644836,0.38326420773801495
L5H,3T3,43.546787,-79.618828,1.8199398816199985
L5K,1E7,43.517746,-79.673698,0.7108687111640297
L5M,0G4,43.557163,-79.739647,0.3662393149536941
L5M,5N8,43.568714,-79.724365,1.1927152268410368
L5M,5Y6,43.570728,-79.716209,1.258580438647054
L6H,6P4,43.46666,-79.738419,0.4451163001963834
L6M,1G8,43.438686,-79.716972,1.2447220366796024
L6M,4L2,43.472122,-79.770554,2.1890540724817544
L6T,0H9,43.741554,-79.679672,1.31636194749673
L6Z,4K2,43.727116,-79.78199,0.6525942344589061
L7C,1E3,43.741055,-79.82872,0.7255706440144316
L7G,4R4,43.647202,-79.8778,1.426955241769999
L7G,6G5,43.628551,-79.886452,0.762342732309533
L7M,4R3,43.397026,-79.806427,0.8903304074723712
L7P,1W5,43.353115,-79.836441,0.5757880617909141
L7R,4C8,43.329491,-79.806984,0.39936510247619134
L7S,1G4,43.325439,-79.799942,0.10092600542155462
L7T,1C5,43.298378,-79.858871,1.1172366110438523
L8B,1P7,43.312469,-80.046585,8.838569842816112
L8E,2S1,43.230858,-79.743874,0.7564598881770536
L8L,7B8,43.251553,-79.825813,0.2178036393348579
L8P,3T6,43.249939,-79.882446,0.6014793998766418
L8R,1A2,43.25708,-79.866699,0.04275556717804703
